Model,Accuracy,Weighted F1,Macro F1,Critical Recall,High Recall
Logistic Regression (baseline),0.9465,0.9498,0.8275,0.7576,0.9083
XGBoost (v2),0.9583,0.9598,0.892,0.8182,0.9675
